[ 2025-11-15 19:13:45,744 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-11-15 19:13:50,922 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-15 19:13:50,929 ] 107 dagshub - INFO - Accessing as amritanshubhardwaj12crosary
[ 2025-11-15 19:13:52,253 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/amritanshubhardwaj12crosary/networksecurity "HTTP/1.1 200 OK"
[ 2025-11-15 19:13:53,586 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-15 19:13:53,589 ] 107 dagshub - INFO - Initialized MLflow to track repo "amritanshubhardwaj12crosary/networksecurity"
[ 2025-11-15 19:13:53,611 ] 107 dagshub - INFO - Repository amritanshubhardwaj12crosary/networksecurity initialized!
[ 2025-11-15 19:13:53,612 ] 18 root - INFO - Initiate the data ingestion
[ 2025-11-15 19:13:58,768 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-15 19:13:58,768 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-15 19:13:58,768 ] 71 root - INFO - Expecting train and test file path.
[ 2025-11-15 19:13:58,801 ] 80 root - INFO - Exported train and test file path.
[ 2025-11-15 19:13:58,801 ] 20 root - INFO - Data Initiation Completed
[ 2025-11-15 19:13:58,805 ] 25 root - INFO - Initiate Data Validation
[ 2025-11-15 19:13:58,874 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 19:13:58,874 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 19:13:58,874 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 19:13:58,874 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 19:13:58,973 ] 27 root - INFO - Data Validation Completed
[ 2025-11-15 19:13:58,974 ] 32 root - INFO - Initiate Data Transformation
[ 2025-11-15 19:13:58,974 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-15 19:13:58,974 ] 65 root - INFO - Starting Data Transformation
[ 2025-11-15 19:13:58,995 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-11-15 19:13:58,995 ] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-15 19:13:59,030 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-15 19:13:59,032 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-15 19:13:59,033 ] 34 root - INFO - Data Transformation Completed
[ 2025-11-15 19:13:59,033 ] 37 root - INFO - Model Training Started
