[ 2025-11-15 11:07:04,843 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-11-15 11:07:05,919 ] 18 root - INFO - Initiate the data ingestion
[ 2025-11-15 11:07:09,566 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-15 11:07:09,566 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-15 11:07:09,567 ] 71 root - INFO - Expecting train and test file path.
[ 2025-11-15 11:07:09,602 ] 80 root - INFO - Exported train and test file path.
[ 2025-11-15 11:07:09,602 ] 20 root - INFO - Data Initiation Completed
[ 2025-11-15 11:07:09,605 ] 25 root - INFO - Initiate Data Validation
[ 2025-11-15 11:07:09,707 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 11:07:09,707 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 11:07:09,707 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 11:07:09,707 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 11:07:09,814 ] 27 root - INFO - Data Validation Completed
[ 2025-11-15 11:07:09,814 ] 32 root - INFO - Initiate Data Transformation
[ 2025-11-15 11:07:09,814 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-15 11:07:09,814 ] 65 root - INFO - Starting Data Transformation
[ 2025-11-15 11:07:09,830 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-11-15 11:07:09,830 ] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-15 11:07:09,843 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-15 11:07:09,845 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-15 11:07:09,846 ] 34 root - INFO - Data Transformation Completed
[ 2025-11-15 11:07:09,847 ] 37 root - INFO - Model Training Started
[ 2025-11-15 11:19:16,364 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-15 11:19:16,365 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-15 11:19:16,365 ] 104 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_15_2025_11_07_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991180597314091, precision_score=0.9882094324540368, recall_score=0.9941696823482107), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715481171548117, precision_score=0.9618889809444905, recall_score=0.981403212172443))
[ 2025-11-15 11:19:16,371 ] 41 root - INFO - Model Training Artifact Created
