[ 2025-11-15 18:52:13,690 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-11-15 18:52:50,824 ] 1026 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-11-15 18:52:52,731 ] 1026 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-11-15 18:52:54,371 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-15 18:52:54,380 ] 107 dagshub - INFO - Accessing as amritanshubhardwaj12crosary
[ 2025-11-15 18:52:56,317 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/amritanshubhardwaj12crosary/networksecurity "HTTP/1.1 200 OK"
[ 2025-11-15 18:52:57,954 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-15 18:52:57,965 ] 107 dagshub - INFO - Initialized MLflow to track repo "amritanshubhardwaj12crosary/networksecurity"
[ 2025-11-15 18:52:57,967 ] 107 dagshub - INFO - Repository amritanshubhardwaj12crosary/networksecurity initialized!
[ 2025-11-15 18:52:57,968 ] 18 root - INFO - Initiate the data ingestion
[ 2025-11-15 18:53:03,330 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-15 18:53:03,330 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-15 18:53:03,352 ] 71 root - INFO - Expecting train and test file path.
[ 2025-11-15 18:53:03,394 ] 80 root - INFO - Exported train and test file path.
[ 2025-11-15 18:53:03,395 ] 20 root - INFO - Data Initiation Completed
[ 2025-11-15 18:53:03,420 ] 25 root - INFO - Initiate Data Validation
[ 2025-11-15 18:53:03,474 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 18:53:03,474 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 18:53:03,475 ] 40 root - INFO - Required number of columns:2
[ 2025-11-15 18:53:03,475 ] 41 root - INFO - Dataframe has columns: 31
[ 2025-11-15 18:53:03,624 ] 27 root - INFO - Data Validation Completed
[ 2025-11-15 18:53:03,624 ] 32 root - INFO - Initiate Data Transformation
[ 2025-11-15 18:53:03,624 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-15 18:53:03,624 ] 65 root - INFO - Starting Data Transformation
[ 2025-11-15 18:53:03,646 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-11-15 18:53:03,646 ] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-15 18:53:03,657 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-15 18:53:03,660 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-15 18:53:03,660 ] 34 root - INFO - Data Transformation Completed
[ 2025-11-15 18:53:03,661 ] 37 root - INFO - Model Training Started
